id,text,label,label_name,language,source,group
213,I feel restless most evenings.,1,MODERATE,english,handwritten,hw_english_1_21
445,"Since the notice came, I've been feeling low.",1,MODERATE,english,templated,tpl_english_1_5
411,"I don't feel safe anywhere, not even at home.",2,HIGH,english,handwritten,hw_english_2_25
233,"This week, I'm sleeping and eating well.",0,LOW,english,templated,tpl_english_0_3
167,Things are normal.,0,LOW,english,templated,tpl_english_0_0
80,"Main theek hoon, bas check-in kar raha tha.",0,LOW,hinglish,handwritten,hw_hinglish_0_20
315,"As of today, I'm sleeping and eating well.",0,LOW,english,templated,tpl_english_0_3
226,"Before the hearing, it's been hard to focus, but I'm managing.",1,MODERATE,english,templated,tpl_english_1_3
377,The weather has been nice and I've been keeping busy.,0,LOW,english,handwritten,hw_english_0_40
360,"I can't concentrate on anything, my mind is in pieces.",2,HIGH,english,handwritten,hw_english_2_50
55,Bas update de raha hoon: case bina dikkat ke manage ho raha hai.,0,LOW,hinglish,templated,tpl_hinglish_0_6
2,I'm having panic attacks.,2,HIGH,english,templated,tpl_english_2_4
159,Sab chhod dene ka man karta hai aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_9
423,Kuch badla nahi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_4
331,"Is mahine, tension rehti hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_4
136,"Hearing ka saamna nahi kar sakta, lagta hai gir jaunga.",2,HIGH,hinglish,handwritten,hw_hinglish_2_13
117,"Cross-examination ke liye ready hoon ya nahi, pata nahi.",1,MODERATE,hinglish,handwritten,hw_hinglish_1_31
166,"Date paas aa rahi hai toh, thodi ghabrahat hai, par sambhal raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_6
140,Things have settled down and I feel at peace.,0,LOW,english,handwritten,hw_english_0_45
135,"I'm exhausted, I can't cope with any of this anymore.",2,HIGH,english,handwritten,hw_english_2_24
311,"Hearing se pehle, nervous lag raha hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_1
462,Is hafte kaam pe dhyan lagana mushkil raha.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_6
433,Main theek hoon.,0,LOW,hinglish,templated,tpl_hinglish_0_1
134,"My brother is coming with me to the court, so I feel comfortable.",0,LOW,english,handwritten,hw_english_0_23
476,I feel a knot in my stomach when I think about the hearing.,1,MODERATE,english,handwritten,hw_english_1_16
50,"Pichle mahine ghabrahat thi, ab kaafi behtar hoon.",0,LOW,hinglish,handwritten,hw_hinglish_0_8
352,I understand the process may take time and I'm patient.,0,LOW,english,handwritten,hw_english_0_47
320,The compensation form was submitted and I'm just waiting now.,0,LOW,english,handwritten,hw_english_0_12
361,"Kahin bhi safe nahi lagta, ghar mein bhi nahi.",2,HIGH,hinglish,handwritten,hw_hinglish_2_25
289,Rona band nahi hota.,2,HIGH,hinglish,templated,tpl_hinglish_2_2
28,Aaj tak case bina dikkat ke manage ho raha hai.,0,LOW,hinglish,templated,tpl_hinglish_0_6
318,I'm having panic attacks almost every day.,2,HIGH,english,handwritten,hw_english_2_6
333,"Court ki dates ki wajah se kaam chhoota, paison ki chinta hai.",1,MODERATE,hinglish,handwritten,hw_hinglish_1_33
52,"Since the notice came, I'm a bit anxious, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_6
48,Statement dene ko lekar confident hoon.,0,LOW,hinglish,handwritten,hw_hinglish_0_21
339,"Notice aane ke baad se, thodi ghabrahat hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_6
179,I'm not sleeping as well as I used to.,1,MODERATE,english,handwritten,hw_english_1_19
342,I feel like giving up and I feel I can't go on.,2,HIGH,english,templated,tpl_english_2_9
409,Life is going on as usual.,0,LOW,english,handwritten,hw_english_0_49
267,"Last court visit ke baad, neend thodi kam ho gayi hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_2
128,Aaj tak kuch badla nahi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_4
210,"Since the last call, I'm managing the case without any trouble.",0,LOW,english,templated,tpl_english_0_6
4,Just checking in: I'm doing fine.,0,LOW,english,templated,tpl_english_0_1
202,"Since the notice came, I've been sleeping a little less, but I'm still going to work.",1,MODERATE,english,templated,tpl_english_1_2
310,My sleep is disturbed a couple of nights a week.,1,MODERATE,english,handwritten,hw_english_1_43
105,I'm so overwhelmed I can't even get out of bed.,2,HIGH,english,handwritten,hw_english_2_29
353,My mind is at ease after talking to the lawyer.,0,LOW,english,handwritten,hw_english_0_32
145,I feel like I'm breaking down and I can't take care of my children.,2,HIGH,english,templated,tpl_english_2_6
287,"This month, I've been sleeping a little less, but my routine is mostly okay.",1,MODERATE,english,templated,tpl_english_1_2
205,"The delay is annoying, but it doesn't affect my day.",0,LOW,english,handwritten,hw_english_0_36
143,"Since the notice came, I feel uneasy, but my routine is mostly okay.",1,MODERATE,english,templated,tpl_english_1_7
426,"As of today, work and home are both okay.",0,LOW,english,templated,tpl_english_0_2
314,"Ghar wale saath hain, main theek hoon.",0,LOW,hinglish,handwritten,hw_hinglish_0_10
417,Kahin safe nahi lagta aur lagta hai ab aur nahi.,2,HIGH,hinglish,templated,tpl_hinglish_2_7
452,I can't stop shaking.,2,HIGH,english,templated,tpl_english_2_8
230,"Hearing se pehle, mood low rehta hai, par manage ho raha hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_5
401,Pichli baat ke baad se case ko lekar main shaant hoon.,0,LOW,hinglish,templated,tpl_hinglish_0_5
343,I feel uneasy about seeing the other party in court.,1,MODERATE,english,handwritten,hw_english_1_10
96,I don't feel safe anywhere and I can't go to work.,2,HIGH,english,templated,tpl_english_2_7
185,"Date paas aa rahi hai toh, chinta ho rahi hai, par sambhal raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_0
138,I feel calm about the next hearing.,0,LOW,english,handwritten,hw_english_0_5
189,Case bina dikkat ke manage ho raha hai.,0,LOW,hinglish,templated,tpl_hinglish_0_6
316,"Sehat theek hai, mood bhi normal.",0,LOW,hinglish,handwritten,hw_hinglish_0_30
251,It's been hard to concentrate at work this week.,1,MODERATE,english,handwritten,hw_english_1_6
51,"Date paas aa rahi hai toh, thodi ghabrahat hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_6
53,I can't eat or sleep and I can't go to work.,2,HIGH,english,templated,tpl_english_2_5
187,"Because of the delay, I've been feeling low, though I can get through the day.",1,MODERATE,english,templated,tpl_english_1_5
149,Teen raat se neend nahi aayi darr ke maare.,2,HIGH,hinglish,handwritten,hw_hinglish_2_15
276,"As of today, nothing has changed.",0,LOW,english,templated,tpl_english_0_4
313,I feel like giving up.,2,HIGH,english,templated,tpl_english_2_9
362,Just checking in: my routine is the same as usual.,0,LOW,english,templated,tpl_english_0_7
354,"Har waqt rona aata hai, control nahi hota.",2,HIGH,hinglish,handwritten,hw_hinglish_2_32
307,"It's stressful, but I'm trying to stay positive.",1,MODERATE,english,handwritten,hw_english_1_17
303,Bas update de raha hoon: case ko lekar main shaant hoon.,0,LOW,hinglish,templated,tpl_hinglish_0_5
403,I'm worried about the cost of travelling to court again.,1,MODERATE,english,handwritten,hw_english_1_15
256,Ummeed bilkul khatam ho gayi hai.,2,HIGH,hinglish,handwritten,hw_hinglish_2_27
436,"Before the hearing, I feel uneasy, but I'm still going to work.",1,MODERATE,english,templated,tpl_english_1_7
214,"Kai din se theek se khaya nahi, rona band nahi hota.",2,HIGH,hinglish,handwritten,hw_hinglish_2_3
300,Pichli baat ke baad se neend aur khana dono theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_3
306,"Is mahine, neend thodi kam ho gayi hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_2
415,I'm a little anxious about giving my statement next week.,1,MODERATE,english,handwritten,hw_english_1_1
27,"Before the hearing, I feel nervous, but my routine is mostly okay.",1,MODERATE,english,templated,tpl_english_1_1
236,Is hafte kaam aur ghar dono theek hain.,0,LOW,hinglish,templated,tpl_hinglish_0_2
348,I get tense every time I have to go to the police station.,1,MODERATE,english,handwritten,hw_english_1_8
416,Bas update de raha hoon: kuch badla nahi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_4
225,I understand the next steps and I'm not worried.,0,LOW,english,handwritten,hw_english_0_10
359,"Notice aane ke baad se, mood low rehta hai, par sambhal raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_5
442,"Wait karte karte thak gaya hoon, anxiety hoti hai.",1,MODERATE,hinglish,handwritten,hw_hinglish_1_24
29,Update from my side: I'm doing fine.,0,LOW,english,templated,tpl_english_0_1
30,"The hearing is on the 14th, and I have my documents ready.",0,LOW,english,handwritten,hw_english_0_0
301,I'm at my breaking point and I have no one to turn to.,2,HIGH,english,handwritten,hw_english_2_44
125,I got the notice and I know what to do next.,0,LOW,english,handwritten,hw_english_0_31
324,"The waiting makes me anxious, especially before each date.",1,MODERATE,english,handwritten,hw_english_1_52
157,I'm focused on my children's school work this week.,0,LOW,english,handwritten,hw_english_0_37
294,"Some days I feel like giving up on the case, but then I carry on.",1,MODERATE,english,handwritten,hw_english_1_46
351,"Neend theek aa rahi hai, khana bhi theek.",0,LOW,hinglish,handwritten,hw_hinglish_0_6
312,I don't feel any pressure about the case at present.,0,LOW,english,handwritten,hw_english_0_44
123,"Is mahine, focus karna mushkil hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_3
291,I've been thinking that my family would be better off without me.,2,HIGH,english,handwritten,hw_english_2_53
148,Is hafte kuch badla nahi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_4
133,I feel like I can't go on with this anymore.,2,HIGH,english,handwritten,hw_english_2_1
247,Sab control mein hai mere taraf se.,0,LOW,hinglish,handwritten,hw_hinglish_0_14
309,Pichli baat ke baad se sab theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_0
5,"Date paas aa rahi hai toh, tension rehti hai, par sambhal raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_4
71,Is hafte routine pehle jaisa hi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_7
168,"Khana chhod diya, har waqt jee machalta hai.",2,HIGH,hinglish,handwritten,hw_hinglish_2_20
370,The counsellor called to check in and I told her I'm doing alright.,0,LOW,english,handwritten,hw_english_0_8
221,Hafte mein do-teen raat neend kharab hoti hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_32
279,"As of today, my routine is the same as usual.",0,LOW,english,templated,tpl_english_0_7
81,I feel like giving up and nothing helps.,2,HIGH,english,templated,tpl_english_2_9
92,I'm scared to sleep because of the nightmares.,2,HIGH,english,handwritten,hw_english_2_42
274,Concentrating on anything has been harder this month.,1,MODERATE,english,handwritten,hw_english_1_39
463,"This month, it's been hard to focus.",1,MODERATE,english,templated,tpl_english_1_3
386,I've lost all hope that things will ever get better.,2,HIGH,english,handwritten,hw_english_2_27
326,Sab chhod dene ka man karta hai aur lagta hai ab aur nahi.,2,HIGH,hinglish,templated,tpl_hinglish_2_9
175,Agle step se thoda darr lagta hai par jaunga.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_23
295,I keep having nightmares about the incident every night.,2,HIGH,english,handwritten,hw_english_2_17
391,Bilkul neend nahi aati aur samajh nahi aata kya karun.,2,HIGH,hinglish,templated,tpl_hinglish_2_0
355,Is hafte main theek hoon.,0,LOW,hinglish,templated,tpl_hinglish_0_1
405,"Date paas aa rahi hai toh, neend thodi kam ho gayi hai, par routine theek hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_2
376,Bhookh thodi kam ho gayi hai aajkal.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_11
142,Rona band nahi hota aur samajh nahi aata kya karun.,2,HIGH,hinglish,templated,tpl_hinglish_2_2
39,Rona band nahi hota aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_2
357,I don't feel safe anywhere and I feel I can't go on.,2,HIGH,english,templated,tpl_english_2_7
115,Lagta hai toot raha hoon.,2,HIGH,hinglish,templated,tpl_hinglish_2_6
102,"Hearing se pehle, thodi ghabrahat hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_6
16,"The case is on my mind a lot, but I'm still going to work.",1,MODERATE,english,handwritten,hw_english_1_3
169,I feel like I'm losing my mind.,2,HIGH,english,handwritten,hw_english_2_19
19,I feel safe at home and my routine is normal.,0,LOW,english,handwritten,hw_english_0_33
107,Bilkul neend nahi aati aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_0
469,"I feel like giving up on everything, including myself.",2,HIGH,english,handwritten,hw_english_2_34
209,I feel so much fear that I've stopped going to work entirely.,2,HIGH,english,handwritten,hw_english_2_45
120,The officer was polite and explained everything clearly.,0,LOW,english,handwritten,hw_english_0_24
59,Sab chhod dene ka man karta hai aur kisi ka saamna nahi kar sakta.,2,HIGH,hinglish,templated,tpl_hinglish_2_9
384,Pichli baat ke baad se case bina dikkat ke manage ho raha hai.,0,LOW,hinglish,templated,tpl_hinglish_0_6
249,"Honestly, the case is weighing on me more than I expected.",1,MODERATE,english,handwritten,hw_english_1_33
282,"Since the notice came, I've been worried, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_0
151,Neend aur khana dono theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_3
248,Lagta hai toot raha hoon aur lagta hai ab aur nahi.,2,HIGH,hinglish,templated,tpl_hinglish_2_6
350,I'm crying all the time and I can't control it.,2,HIGH,english,handwritten,hw_english_2_35
349,"Since the last call, things are normal.",0,LOW,english,templated,tpl_english_0_0
106,"I'm shaking as I write this, I'm so afraid.",2,HIGH,english,handwritten,hw_english_2_12
56,"Na taakat hai, na bhookh, na jeene ki ichha.",2,HIGH,hinglish,handwritten,hw_hinglish_2_31
23,Case ke baare mein zyada sochta nahi ab.,0,LOW,hinglish,handwritten,hw_hinglish_0_15
70,The pressure is crushing me and I feel I might break.,2,HIGH,english,handwritten,hw_english_2_38
356,"I've stopped eating, I feel sick all the time.",2,HIGH,english,handwritten,hw_english_2_20
304,I think about the incident sometimes and it makes me sad.,1,MODERATE,english,handwritten,hw_english_1_37
182,Itna darr hai ki bachon ko school bhejna band kar diya.,2,HIGH,hinglish,handwritten,hw_hinglish_2_9
240,Statement dene ko lekar thoda anxious hoon.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_1
397,Stress hai par positive rehne ki koshish kar raha hoon.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_16
414,"Because of the delay, I feel nervous, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_1
305,"As of today, I'm doing fine.",0,LOW,english,templated,tpl_english_0_1
112,"Delay ki wajah se, mood low rehta hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_5
286,My routine is the same as usual.,0,LOW,english,templated,tpl_english_0_7
389,I can't stop crying and I don't know what to do.,2,HIGH,english,templated,tpl_english_2_2
172,"After the last court visit, I've been feeling low, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_5
86,Pichli baat ke baad se main theek hoon.,0,LOW,hinglish,templated,tpl_hinglish_0_1
101,"Before the hearing, I've been feeling low, but my routine is mostly okay.",1,MODERATE,english,templated,tpl_english_1_5
407,I'm having panic attacks and I can't face anyone.,2,HIGH,english,templated,tpl_english_2_4
