id,text,label,label_name,language,source,group
96,I don't feel safe anywhere and I can't go to work.,2,HIGH,english,templated,tpl_english_2_7
97,I'm not sure I'm ready for the cross-examination.,1,MODERATE,english,handwritten,hw_english_1_42
98,I feel trapped and completely helpless.,2,HIGH,english,handwritten,hw_english_2_48
99,Kahin safe nahi lagta aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_7
100,I know the hearing is in two weeks and I've planned my leave.,0,LOW,english,handwritten,hw_english_0_42
101,"Before the hearing, I've been feeling low, but my routine is mostly okay.",1,MODERATE,english,templated,tpl_english_1_5
102,"Hearing se pehle, thodi ghabrahat hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_6
103,I've been feeling nervous and it's affecting my appetite a little.,1,MODERATE,english,handwritten,hw_english_1_50
104,Sab chhod dene ka man karta hai aur samajh nahi aata kya karun.,2,HIGH,hinglish,templated,tpl_hinglish_2_9
105,I'm so overwhelmed I can't even get out of bed.,2,HIGH,english,handwritten,hw_english_2_29
106,"I'm shaking as I write this, I'm so afraid.",2,HIGH,english,handwritten,hw_english_2_12
107,Bilkul neend nahi aati aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_0
108,I've been going to the fields every day like before.,0,LOW,english,handwritten,hw_english_0_22
109,I feel completely hopeless and I feel I can't go on.,2,HIGH,english,templated,tpl_english_2_3
110,I finished my work early today and rested.,0,LOW,english,handwritten,hw_english_0_46
111,"I need some reassurance, I've been feeling shaky about all this.",1,MODERATE,english,handwritten,hw_english_1_36
112,"Delay ki wajah se, mood low rehta hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_5
113,I feel anxious but I know I have support.,1,MODERATE,english,handwritten,hw_english_1_41
114,I can't sleep at all and I don't know what to do.,2,HIGH,english,templated,tpl_english_2_0
115,Lagta hai toot raha hoon.,2,HIGH,hinglish,templated,tpl_hinglish_2_6
116,"Lawyer ne sab samjha diya, ab clear hai.",0,LOW,hinglish,handwritten,hw_hinglish_0_2
117,"Cross-examination ke liye ready hoon ya nahi, pata nahi.",1,MODERATE,hinglish,handwritten,hw_hinglish_1_31
118,I'm managing the case without any trouble.,0,LOW,english,templated,tpl_english_0_6
119,"Last court visit ke baad, chinta ho rahi hai, par routine theek hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_0
120,The officer was polite and explained everything clearly.,0,LOW,english,handwritten,hw_english_0_24
121,Work is keeping me occupied and I feel alright.,0,LOW,english,handwritten,hw_english_0_17
122,Court jaane mein koi darr nahi lagta.,0,LOW,hinglish,handwritten,hw_hinglish_0_11
123,"Is mahine, focus karna mushkil hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_3
124,Case ko lekar abhi koi pressure nahi hai.,0,LOW,hinglish,handwritten,hw_hinglish_0_31
125,I got the notice and I know what to do next.,0,LOW,english,handwritten,hw_english_0_31
126,Last hearing ke baad se relaxed hoon.,0,LOW,hinglish,handwritten,hw_hinglish_0_29
127,I feel on edge before every phone call about the case.,1,MODERATE,english,handwritten,hw_english_1_34
128,Aaj tak kuch badla nahi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_4
129,Panic attack jaise hote hain.,2,HIGH,hinglish,templated,tpl_hinglish_2_4
130,Na kha pa raha hoon na so pa raha hoon aur samajh nahi aata kya karun.,2,HIGH,hinglish,templated,tpl_hinglish_2_5
131,I feel nervous whenever the lawyer calls.,1,MODERATE,english,handwritten,hw_english_1_4
132,Bas update de raha hoon: main theek hoon.,0,LOW,hinglish,templated,tpl_hinglish_0_1
133,I feel like I can't go on with this anymore.,2,HIGH,english,handwritten,hw_english_2_1
134,"My brother is coming with me to the court, so I feel comfortable.",0,LOW,english,handwritten,hw_english_0_23
135,"I'm exhausted, I can't cope with any of this anymore.",2,HIGH,english,handwritten,hw_english_2_24
136,"Hearing ka saamna nahi kar sakta, lagta hai gir jaunga.",2,HIGH,hinglish,handwritten,hw_hinglish_2_13
137,"Delay ki wajah se, nervous lag raha hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_1
138,I feel calm about the next hearing.,0,LOW,english,handwritten,hw_english_0_5
139,"I feel a bit scared about the next step, but I'll go.",1,MODERATE,english,handwritten,hw_english_1_26
140,Things have settled down and I feel at peace.,0,LOW,english,handwritten,hw_english_0_45
141,I'm eating and sleeping normally.,0,LOW,english,handwritten,hw_english_0_16
142,Rona band nahi hota aur samajh nahi aata kya karun.,2,HIGH,hinglish,templated,tpl_hinglish_2_2
143,"Since the notice came, I feel uneasy, but my routine is mostly okay.",1,MODERATE,english,templated,tpl_english_1_7
144,I went to the police station today and filed the papers without any trouble.,0,LOW,english,handwritten,hw_english_0_3
145,I feel like I'm breaking down and I can't take care of my children.,2,HIGH,english,templated,tpl_english_2_6
146,Main case ko lekar tension mein nahi hoon.,0,LOW,hinglish,handwritten,hw_hinglish_0_5
147,I worry that I'll forget details when I testify.,1,MODERATE,english,handwritten,hw_english_1_20
148,Is hafte kuch badla nahi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_4
149,Teen raat se neend nahi aayi darr ke maare.,2,HIGH,hinglish,handwritten,hw_hinglish_2_15
150,"There's nothing to report, things are quiet.",0,LOW,english,handwritten,hw_english_0_29
151,Neend aur khana dono theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_3
152,I'm terrified to leave the house.,2,HIGH,english,handwritten,hw_english_2_2
153,I'm okay. Just checking in as scheduled.,0,LOW,english,handwritten,hw_english_0_26
154,I slept well and had a normal day.,0,LOW,english,handwritten,hw_english_0_7
155,I'm terrified all the time and I can't go to work.,2,HIGH,english,templated,tpl_english_2_1
156,I've been feeling low since the last hearing was postponed.,1,MODERATE,english,handwritten,hw_english_1_18
157,I'm focused on my children's school work this week.,0,LOW,english,handwritten,hw_english_0_37
158,Raat ko kabhi kabhi jaagta rehta hoon ki kya hoga.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_12
159,Sab chhod dene ka man karta hai aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_9
160,I get a headache when I think about the paperwork.,1,MODERATE,english,handwritten,hw_english_1_28
161,I've been skipping meals because I'm preoccupied with the case.,1,MODERATE,english,handwritten,hw_english_1_24
162,Darr hai ki parivaar ke saath kuch bahut bura ho jayega.,2,HIGH,hinglish,handwritten,hw_hinglish_2_30
163,I'm terrified all the time and I feel I can't go on.,2,HIGH,english,templated,tpl_english_2_1
164,"I feel worried, though I can still get through my day.",1,MODERATE,english,handwritten,hw_english_1_54
165,"Since the notice came, I'm a bit anxious.",1,MODERATE,english,templated,tpl_english_1_6
166,"Date paas aa rahi hai toh, thodi ghabrahat hai, par sambhal raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_6
167,Things are normal.,0,LOW,english,templated,tpl_english_0_0
168,"Khana chhod diya, har waqt jee machalta hai.",2,HIGH,hinglish,handwritten,hw_hinglish_2_20
169,I feel like I'm losing my mind.,2,HIGH,english,handwritten,hw_english_2_19
170,I can't stop crying and I can't go to work.,2,HIGH,english,templated,tpl_english_2_2
171,I'm coping but I'd like to talk to the counsellor soon.,1,MODERATE,english,handwritten,hw_english_1_51
172,"After the last court visit, I've been feeling low, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_5
173,"Aaj ka din accha tha, shaam ko doston se mila.",0,LOW,hinglish,handwritten,hw_hinglish_0_12
174,"I can't face the hearing, I feel like collapsing.",2,HIGH,english,handwritten,hw_english_2_13
175,Agle step se thoda darr lagta hai par jaunga.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_23
176,"This month, I've been sleeping a little less, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_2
177,I haven't slept in three nights because of the fear.,2,HIGH,english,handwritten,hw_english_2_15
178,I've been vomiting from anxiety before every court date.,2,HIGH,english,handwritten,hw_english_2_47
179,I'm not sleeping as well as I used to.,1,MODERATE,english,handwritten,hw_english_1_19
180,I don't know how much longer I can bear this.,2,HIGH,english,handwritten,hw_english_2_49
181,"Hearing ke baare mein sochta rehta hoon, relax nahi ho pa raha.",1,MODERATE,hinglish,handwritten,hw_hinglish_1_0
182,Itna darr hai ki bachon ko school bhejna band kar diya.,2,HIGH,hinglish,handwritten,hw_hinglish_2_9
183,Manage kar raha hoon par kabhi kabhi stress zyada ho jaata hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_7
184,"Last court visit ke baad, bechaini rehti hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_7
185,"Date paas aa rahi hai toh, chinta ho rahi hai, par sambhal raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_0
186,Bachon ki padhai pe dhyan de raha hoon is hafte.,0,LOW,hinglish,handwritten,hw_hinglish_0_28
187,"Because of the delay, I've been feeling low, though I can get through the day.",1,MODERATE,english,templated,tpl_english_1_5
188,Shaam ko bechaini si rehti hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_20
189,Case bina dikkat ke manage ho raha hai.,0,LOW,hinglish,templated,tpl_hinglish_0_6
190,I feel like I'm drowning and no one is coming.,2,HIGH,english,handwritten,hw_english_2_30
191,"Kuch naya nahi hua is hafte, sab normal.",0,LOW,hinglish,handwritten,hw_hinglish_0_19
192,Update from my side: work and home are both okay.,0,LOW,english,templated,tpl_english_0_2
193,I can't sleep at all and I feel I can't go on.,2,HIGH,english,templated,tpl_english_2_0
194,"I'm having a breakdown, I need help right now.",2,HIGH,english,handwritten,hw_english_2_51
195,I haven't been myself lately because of this case.,1,MODERATE,english,handwritten,hw_english_1_29
196,"As of today, I feel calm about the case.",0,LOW,english,templated,tpl_english_0_5
197,"After the last court visit, I've been worried, though I can get through the day.",1,MODERATE,english,templated,tpl_english_1_0
198,Kaanpna band nahi hota aur kisi ka saamna nahi kar sakta.,2,HIGH,hinglish,templated,tpl_hinglish_2_8
199,"Because of the delay, I feel tense, though I can get through the day.",1,MODERATE,english,templated,tpl_english_1_4
200,"Bas sab khatam ho jaye, ab bardasht nahi hota.",2,HIGH,hinglish,handwritten,hw_hinglish_2_10
201,Pichli baat ke baad se kaam aur ghar dono theek hain.,0,LOW,hinglish,templated,tpl_hinglish_0_2
202,"Since the notice came, I've been sleeping a little less, but I'm still going to work.",1,MODERATE,english,templated,tpl_english_1_2
203,"Since the notice came, I've been worried, though I can get through the day.",1,MODERATE,english,templated,tpl_english_1_0
204,I feel completely hopeless and nothing helps.,2,HIGH,english,templated,tpl_english_2_3
205,"The delay is annoying, but it doesn't affect my day.",0,LOW,english,handwritten,hw_english_0_36
206,I feel like nobody can help me and I'm all alone.,2,HIGH,english,handwritten,hw_english_2_16
207,I keep replaying the incident in my head at night.,1,MODERATE,english,handwritten,hw_english_1_49
208,"This month, it's been hard to focus, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_3
209,I feel so much fear that I've stopped going to work entirely.,2,HIGH,english,handwritten,hw_english_2_45
210,"Since the last call, I'm managing the case without any trouble.",0,LOW,english,templated,tpl_english_0_6
211,I'm sleeping and eating well.,0,LOW,english,templated,tpl_english_0_3
212,"Aaj thana gaya tha, kaagaz jama ho gaye, koi dikkat nahi hui.",0,LOW,hinglish,handwritten,hw_hinglish_0_4
213,I feel restless most evenings.,1,MODERATE,english,handwritten,hw_english_1_21
214,"Kai din se theek se khaya nahi, rona band nahi hota.",2,HIGH,hinglish,handwritten,hw_hinglish_2_3
215,"Notice aane ke baad se, chinta ho rahi hai, par kaam pe jaa raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_0
216,"Nothing new has happened this week, everything is normal.",0,LOW,english,handwritten,hw_english_0_6
217,"Since the notice came, I feel uneasy, but I'm still going to work.",1,MODERATE,english,templated,tpl_english_1_7
218,Aaj tak case ko lekar main shaant hoon.,0,LOW,hinglish,templated,tpl_hinglish_0_5
219,Ghar walon pe zyada chidh raha hoon aajkal.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_13
220,"Hearing kaise jayegi, iski chinta hai.",1,MODERATE,hinglish,handwritten,hw_hinglish_1_5
221,Hafte mein do-teen raat neend kharab hoti hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_32
222,"Is mahine, bechaini rehti hai, par manage ho raha hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_7
223,My heart races every time I hear a vehicle outside.,2,HIGH,english,handwritten,hw_english_2_4
224,Update from my side: my routine is the same as usual.,0,LOW,english,templated,tpl_english_0_7
225,I understand the next steps and I'm not worried.,0,LOW,english,handwritten,hw_english_0_10
226,"Before the hearing, it's been hard to focus, but I'm managing.",1,MODERATE,english,templated,tpl_english_1_3
227,Some nights I lie awake thinking about what will happen.,1,MODERATE,english,handwritten,hw_english_1_13
228,Kaam pe regular jaa raha hoon.,0,LOW,hinglish,handwritten,hw_hinglish_0_26
229,I've been feeling relaxed since the last hearing.,0,LOW,english,handwritten,hw_english_0_38
230,"Hearing se pehle, mood low rehta hai, par manage ho raha hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_5
231,Case ki wajah se kaam mein dhyan bhatak jaata hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_22
232,Har waqt darr lagta hai.,2,HIGH,hinglish,templated,tpl_hinglish_2_1
233,"This week, I'm sleeping and eating well.",0,LOW,english,templated,tpl_english_0_3
234,I'm too frightened to go to the village well anymore.,2,HIGH,english,handwritten,hw_english_2_18
235,Nothing has changed.,0,LOW,english,templated,tpl_english_0_4
236,Is hafte kaam aur ghar dono theek hain.,0,LOW,hinglish,templated,tpl_hinglish_0_2
237,Sab hopeless lagta hai.,2,HIGH,hinglish,templated,tpl_hinglish_2_3
238,I feel numb and empty all the time.,2,HIGH,english,handwritten,hw_english_2_14
239,Zindagi normal chal rahi hai.,0,LOW,hinglish,handwritten,hw_hinglish_0_34
240,Statement dene ko lekar thoda anxious hoon.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_1
241,Pehle jaisi neend nahi aa rahi.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_18
242,"Likhte likhte haath kaanp rahe hain, itna darr hai.",2,HIGH,hinglish,handwritten,hw_hinglish_2_12
243,Notice aane ke baad se neend thodi kam ho gayi hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_2
244,"Things are fine at home, and work is going as usual.",0,LOW,english,handwritten,hw_english_0_2
245,I've been sleeping a bit less since the notice came.,1,MODERATE,english,handwritten,hw_english_1_2
246,I'm terrified all the time.,2,HIGH,english,templated,tpl_english_2_1
247,Sab control mein hai mere taraf se.,0,LOW,hinglish,handwritten,hw_hinglish_0_14
248,Lagta hai toot raha hoon aur lagta hai ab aur nahi.,2,HIGH,hinglish,templated,tpl_hinglish_2_6
249,"Honestly, the case is weighing on me more than I expected.",1,MODERATE,english,handwritten,hw_english_1_33
250,"Because of the delay, I feel uneasy.",1,MODERATE,english,templated,tpl_english_1_7
251,It's been hard to concentrate at work this week.,1,MODERATE,english,handwritten,hw_english_1_6
252,"I'm more stressed than last month, but I'm still functioning.",1,MODERATE,english,handwritten,hw_english_1_53
253,Bahar gaadi ki awaaz aate hi dil zor se dhadakne lagta hai.,2,HIGH,hinglish,handwritten,hw_hinglish_2_4
254,"Before the hearing, I'm a bit anxious.",1,MODERATE,english,templated,tpl_english_1_6
255,I can't stop crying.,2,HIGH,english,templated,tpl_english_2_2
256,Ummeed bilkul khatam ho gayi hai.,2,HIGH,hinglish,handwritten,hw_hinglish_2_27
257,"I'm managing, but the stress is getting to me some days.",1,MODERATE,english,handwritten,hw_english_1_7
258,"Date paas aa rahi hai toh, tension rehti hai, par kaam pe jaa raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_4
259,I've been worried about what people in the village are saying.,1,MODERATE,english,handwritten,hw_english_1_32
260,"I haven't eaten properly in days, I can't stop crying.",2,HIGH,english,handwritten,hw_english_2_3
261,I feel worthless and I don't want to see anyone.,2,HIGH,english,handwritten,hw_english_2_22
262,"Sab andhera lagta hai, koi raasta nahi dikhta.",2,HIGH,hinglish,handwritten,hw_hinglish_2_11
263,Update from my side: nothing has changed.,0,LOW,english,templated,tpl_english_0_4
264,"This week, I feel calm about the case.",0,LOW,english,templated,tpl_english_0_5
265,Bas update de raha hoon: sab theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_0
266,Work and home are both okay.,0,LOW,english,templated,tpl_english_0_2
267,"Last court visit ke baad, neend thodi kam ho gayi hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_2
268,I can't eat or sleep and I don't know what to do.,2,HIGH,english,templated,tpl_english_2_5
269,I'm somewhat stressed but I'm still able to manage my routine.,1,MODERATE,english,handwritten,hw_english_1_35
270,"Since the last call, I'm sleeping and eating well.",0,LOW,english,templated,tpl_english_0_3
271,I feel there is no point in anything anymore.,2,HIGH,english,handwritten,hw_english_2_43
272,"Delay ki wajah se, bechaini rehti hai, par sambhal raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_7
273,I'm in constant dread from morning until night.,2,HIGH,english,handwritten,hw_english_2_39
274,Concentrating on anything has been harder this month.,1,MODERATE,english,handwritten,hw_english_1_39
275,"Delay ki wajah se, neend thodi kam ho gayi hai, par manage ho raha hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_2
276,"As of today, nothing has changed.",0,LOW,english,templated,tpl_english_0_4
277,Is hafte case ko lekar main shaant hoon.,0,LOW,hinglish,templated,tpl_hinglish_0_5
278,Bilkul neend nahi aati aur kisi ka saamna nahi kar sakta.,2,HIGH,hinglish,templated,tpl_hinglish_2_0
279,"As of today, my routine is the same as usual.",0,LOW,english,templated,tpl_english_0_7
280,"Before the hearing, I feel nervous, but I'm managing.",1,MODERATE,english,templated,tpl_english_1_1
281,Har waqt darr lagta hai aur kisi ka saamna nahi kar sakta.,2,HIGH,hinglish,templated,tpl_hinglish_2_1
282,"Since the notice came, I've been worried, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_0
283,I feel like I'm breaking down and I feel I can't go on.,2,HIGH,english,templated,tpl_english_2_6
284,The pressure of the case is starting to affect my mood.,1,MODERATE,english,handwritten,hw_english_1_22
285,Raat ko incident baar baar yaad aata hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_34
286,My routine is the same as usual.,0,LOW,english,templated,tpl_english_0_7
