text,label,category,language,source
Mujhe aage kya hoga iska darr lag raha hai.,0,fear,hinglish,synthetic
Case aage badhaya toh accha nahi hoga.,1,hinglish_threat,hinglish,synthetic_v6
Kisi ne police ke paas jaane se mujhe nahi roka.,0,hinglish_negation,hinglish,synthetic_v6
I am worried about what comes next.,0,fear,english,synthetic
Jo hua woh kisi ko mat batana.,1,forced_silence,hinglish,synthetic
Complaint ke baare mein silent raho.,1,forced_silence,hinglish,synthetic
He warned me that my family would pay for my decision.,1,family_threat,english,synthetic
I am frustrated with how slowly the case is moving.,0,anger,english,synthetic
I do not know what I am supposed to do next.,0,hopelessness,english,synthetic
Incident ke baad routine disturb ho gaya hai.,0,general_distress,hinglish,synthetic
I heard about threats against other people and it made me nervous.,0,hard_negative,english,synthetic
Complaint wapas le lo warna problem hogi.,1,hinglish_threat,hinglish,synthetic_v6
They demanded that I stop with the complaint.,1,case_withdrawal,english,synthetic
The situation has made me very frustrated.,0,anger,english,synthetic
He reminded me that he knew where my parents lived.,1,indirect_threat,english,synthetic_v6
Mujhe normal cheezon par concentrate karna difficult lag raha hai.,0,general_distress,hinglish,synthetic
The legal process is making me stressed.,0,legal_stress,english,synthetic
They warned me against speaking to the authorities.,1,physical_threat,english,synthetic
Someone told me another family received threats.,0,other_person_threat,english,synthetic_v6
Unhone kaha case aage le gaye toh accha nahi hoga.,1,hinglish_indirect,hinglish,synthetic_v6
Gawahi mat dena warna tumhare liye accha nahi hoga.,1,targeted_threat,hinglish,synthetic_v6
He told me to withdraw everything I had reported.,1,case_withdrawal,english,synthetic
He warned me not to speak about what I witnessed.,1,witness_intimidation,english,synthetic
Nobody threatened me about continuing the case.,0,case_negation,english,synthetic_v6
Lag raha hai kuch bhi theek nahi hoga.,0,hopelessness,hinglish,synthetic
I do not know what to expect during the hearing.,0,legal_stress,english,synthetic
I was warned that my family would not be left out of the situation.,1,family_threat,english,synthetic
Case continue kiya toh income ka problem hoga.,1,financial_coercion,hinglish,synthetic
Mujhe court jaane mein anxiety ho rahi hai.,0,fear,hinglish,synthetic
They asked me not to discuss the incident in court.,1,witness_intimidation,english,synthetic
The paperwork is overwhelming me.,0,legal_stress,english,synthetic
They pressured me to stop pursuing the case.,1,case_withdrawal,english,synthetic
They said continuing the complaint could cost me my livelihood.,1,financial_coercion,english,synthetic
I feel angry because nobody is listening to me.,0,anger,english,synthetic
Please think carefully before getting involved.,0,ambiguous_non_threat,english,synthetic_v6
Police ko bataya toh tumhare liye problem hogi.,1,hinglish_indirect,hinglish,synthetic_v6
Everything feels impossible right now.,0,hopelessness,english,synthetic
I was warned that cooperating could affect my employment.,1,financial_coercion,english,synthetic
They asked me to stop telling people about the case.,1,forced_silence,english,synthetic
I feel lonely after everything that happened.,0,sadness,english,synthetic
They told me to stop cooperating if I wanted to keep working.,1,financial_coercion,english,synthetic
I keep imagining that something bad could happen.,0,fear_without_threat,english,synthetic_v6
The situation has affected me emotionally.,0,sadness,english,synthetic
The case has been affecting my ability to concentrate.,0,general_distress,english,synthetic
Someone told me that I should keep my mouth shut.,1,forced_silence,english,synthetic
Someone told me not to speak to the police.,1,forced_silence,english,synthetic
Case aage badhaya toh tumhe regret hoga.,1,targeted_threat,hinglish,synthetic_v6
Tumhari wajah se ghar walon ko problem hogi.,1,family_threat,hinglish,synthetic
I was told that my financial situation would suffer if I cooperated.,1,financial_coercion,english,synthetic
I am frightened by the situation but nobody has threatened me.,0,fear_without_threat,english,synthetic_v6
They made it clear that I should keep silent.,1,targeted_threat,english,synthetic_v6
Case ko aage mat badhao.,1,case_withdrawal,hinglish,synthetic
Mujhe situation se kaafi emotional stress ho raha hai.,0,general_distress,hinglish,synthetic
Agar court gaya toh mere liye situation kharab ho jayegi.,1,physical_threat,hinglish,synthetic
I feel lost because everything is so complicated.,0,hopelessness,english,synthetic
Nobody has tried to force me to withdraw the complaint.,0,case_negation,english,synthetic_v6
I was given advice to step away from the dispute.,0,non_threat_advice,english,synthetic_v6
I am worried they could retaliate even though nobody has contacted me.,0,hard_negative,english,synthetic
Police ko bataya toh tumhe problem hogi.,1,targeted_threat,hinglish,synthetic_v6
Nobody threatened me.,0,negation,english,synthetic_v6
I feel irritated whenever I think about the case.,0,anger,english,synthetic
Court mein kya hoga samajh nahi aa raha.,0,legal_stress,hinglish,synthetic
"I was not threatened when I first complained, but they later threatened my family.",1,targeted_threat,english,synthetic_v6
Court mein mere against kuch mat bolna.,1,hinglish_threat,hinglish,synthetic_v6
They said I would have employment problems if I testified.,1,financial_coercion,english,synthetic
Main is situation mein lost feel kar raha hoon.,0,hopelessness,hinglish,synthetic
They said my brother would face problems if I testified.,1,family_threat,english,synthetic
No one has threatened me.,0,negation,english,synthetic_v6
He pressured me to stay silent.,1,forced_silence,english,synthetic
The whole situation has been difficult for me.,0,general_distress,english,synthetic
He made it clear that continuing would cause problems for me.,1,indirect_threat,english,synthetic_v6
He said my family would suffer if I continued the case.,1,targeted_threat,english,synthetic_v6
Authorities ko kuch nahi batana.,1,forced_silence,hinglish,synthetic
They said my source of income could disappear.,1,financial_coercion,english,synthetic
Everything feels too difficult at the moment.,0,hopelessness,english,synthetic
They said I should avoid unnecessary conflict.,0,ambiguous_non_threat,english,synthetic_v6
"They first advised me to stop, then made it clear there would be consequences.",1,targeted_threat,english,synthetic_v6
Mere against kisi ne threat nahi diya.,0,hinglish_negation,hinglish,synthetic_v6
The possibility of retaliation is making me extremely anxious.,0,hard_negative,english,synthetic
They told me I would be attacked if I went to the police.,1,targeted_threat,english,synthetic_v6
Evidence diya toh consequences honge.,1,witness_intimidation,hinglish,synthetic
Nobody contacted me to threaten me.,0,negation,english,synthetic_v6
He said I should never mention the incident again.,1,forced_silence,english,synthetic
Kisi ne mujhe harm karne ki baat nahi boli.,0,hinglish_negation,hinglish,synthetic_v6
I am concerned about my safety even though nobody has intimidated me.,0,hard_negative,english,synthetic
Family ko involve mat karo warna problem hogi.,1,hinglish_threat,hinglish,synthetic_v6
Mujhe samajh nahi aa raha kya karun.,0,hopelessness,hinglish,synthetic
Withdraw the complaint or you will regret it.,1,targeted_threat,english,synthetic_v6
Someone warned me not to take the matter to court.,1,physical_threat,english,synthetic
There were threats against another person involved in the case.,0,other_person_threat,english,synthetic_v6
"I am scared that they might hurt me, but nobody has threatened me.",0,hard_negative,english,synthetic
Mujhe future ko lekar tension ho rahi hai.,0,hinglish_fear,hinglish,synthetic_v6
Unhone kaha case chhodo warna problem hogi.,1,targeted_threat,hinglish,synthetic_v6
Statement mein jo hua woh mat bolna.,1,witness_intimidation,hinglish,synthetic
Uncertainty ki wajah se anxiety ho rahi hai.,0,fear,hinglish,synthetic
Process ki wajah se bahut irritation ho rahi hai.,0,anger,hinglish,synthetic
They said they would hurt me if I reported the incident.,1,targeted_threat,english,synthetic_v6
He warned me that my employment would be affected.,1,financial_coercion,english,synthetic
I feel uneasy about going to court.,0,fear,english,synthetic
Sab kuch emotionally difficult lag raha hai.,0,sadness,hinglish,synthetic
Mujhe apni statement ko lekar concern hai.,0,legal_stress,hinglish,synthetic
No one has made a threat against my family.,0,negation,english,synthetic_v6
I was told that things would become dangerous if I continued.,1,physical_threat,english,synthetic
They told me I would be hurt if I went to the police.,1,physical_threat,english,synthetic
Someone told me it might be better to stay out of the matter.,0,non_threat_advice,english,synthetic_v6
I do not know where to turn for help.,0,hopelessness,english,synthetic
Gawahi di toh job safe nahi rahegi.,1,financial_coercion,hinglish,synthetic
Matter ko aur aage mat le jao.,1,case_withdrawal,hinglish,synthetic
They made it clear that my family could become involved.,1,family_threat,english,synthetic
They asked me to stop talking about the case.,1,forced_silence,english,synthetic
Mujhe darr hai ki mere family ko kuch ho sakta hai.,0,hard_negative,hinglish,synthetic
I keep worrying about the case throughout the day.,0,general_distress,english,synthetic
I feel helpless about what is happening.,0,hopelessness,english,synthetic
I was told to abandon the complaint.,1,case_withdrawal,english,synthetic
Mujhe legal process samajh nahi aa raha.,0,legal_stress,hinglish,synthetic
Samajh nahi aa raha kis se help loon.,0,hopelessness,hinglish,synthetic
I heard that another witness was threatened.,0,other_person_threat,english,synthetic_v6
The hearing process is confusing.,0,legal_stress,english,synthetic
Someone told me my children would not be safe if I went to court.,1,family_threat,english,synthetic
They warned me that I would not be safe if I spoke up.,1,physical_threat,english,synthetic
Unhone kaha matter ko yahin khatam karo.,1,hinglish_indirect,hinglish,synthetic_v6
I feel unsafe even though nobody has contacted me.,0,fear_without_threat,english,synthetic_v6
Kisi ko bataya toh problem hogi.,1,forced_silence,hinglish,synthetic
I feel stressed whenever the case comes up.,0,general_distress,english,synthetic
Someone mentioned threats during the hearing and I became nervous.,0,hard_negative,english,synthetic
He said my job could disappear if I helped the investigation.,1,indirect_threat,english,synthetic_v6
He warned me not to give evidence against them.,1,witness_intimidation,english,synthetic
Police ko bataya toh dekh lena.,1,hinglish_threat,hinglish,synthetic_v6
Gawahi di toh family ko problem ho jayegi.,1,hinglish_indirect,hinglish,synthetic_v6
I am scared because the process is unfamiliar to me.,0,fear,english,synthetic
They made it clear that I should not appear as a witness.,1,witness_intimidation,english,synthetic
They made it clear that I should not speak in court.,1,indirect_threat,english,synthetic_v6
They asked me to keep my statement to myself.,1,witness_intimidation,english,synthetic
Hearing ke liye prepare karna stressful lag raha hai.,0,legal_stress,hinglish,synthetic
Police ko bataya toh consequences face karne padenge.,1,physical_threat,hinglish,synthetic
He warned me that my job was in their hands.,1,financial_coercion,english,synthetic
Someone told me not to become involved as a witness.,1,witness_intimidation,english,synthetic
I feel overwhelmed by the court procedure.,0,legal_stress,english,synthetic
Complaint ki toh tumhari job chali jayegi.,1,targeted_threat,hinglish,synthetic_v6
Complaint withdraw karna hi better hoga.,1,case_withdrawal,hinglish,synthetic
Apne family ke baare mein socho aur complaint wapas le lo.,1,family_threat,hinglish,synthetic
Incident ke baad se main unsettled feel kar raha hoon.,0,general_distress,hinglish,synthetic
"Kisi ne mujhe dhamki nahi di, bas mujhe darr lag raha hai.",0,hinglish_fear,hinglish,synthetic_v6
They warned me against discussing the complaint.,1,forced_silence,english,synthetic
I keep worrying about the situation.,0,fear,english,synthetic
The slow process is making me increasingly frustrated.,0,anger,english,synthetic
He told me that cooperating with the police would be a mistake.,1,indirect_threat,english,synthetic_v6
They said my children could be affected if I continued.,1,family_threat,english,synthetic
Main emotionally exhausted ho gaya hoon.,0,sadness,hinglish,synthetic
He threatened to harm my brother if I gave evidence.,1,targeted_threat,english,synthetic_v6
Court procedure ko lekar stress hai.,0,legal_stress,hinglish,synthetic
"Nobody has threatened me, but I am worried about what could happen.",0,hard_negative,english,synthetic
I have continued the case without receiving any threats.,0,case_negation,english,synthetic_v6
He warned me against supporting the complaint.,1,witness_intimidation,english,synthetic
I have been having a difficult time emotionally.,0,sadness,english,synthetic
The newspaper reported threats against other witnesses.,0,other_person_threat,english,synthetic_v6
I worry that there could be retaliation.,0,fear_without_threat,english,synthetic_v6
I was not threatened because of my complaint.,0,case_negation,english,synthetic_v6
Do not testify against us.,1,targeted_threat,english,synthetic_v6
They said my salary could stop if I cooperated.,1,financial_coercion,english,synthetic
Police ke paas gaye toh dekh lenge.,1,hinglish_threat,hinglish,synthetic_v6
Case ki wajah se focus karna mushkil ho raha hai.,0,general_distress,hinglish,synthetic
No one has told me that I would be harmed.,0,negation,english,synthetic_v6
I am worried about the future of my case.,0,fear,english,synthetic
Kisi ko kuch mat batana.,1,forced_silence,hinglish,synthetic
Legal case ka experience nahi hai isliye tension ho rahi hai.,0,legal_stress,hinglish,synthetic
Someone told me to stay quiet about the investigation.,1,forced_silence,english,synthetic
I am nervous about giving my statement.,0,legal_stress,english,synthetic
Mujhe nahi pata aage kya hoga aur isliye tension hai.,0,hinglish_fear,hinglish,synthetic_v6
Kuch samajh nahi aa raha kaise aage badhun.,0,hopelessness,hinglish,synthetic
Case ki wajah se bahut nervous feel kar raha hoon.,0,fear,hinglish,synthetic
They told me to end the matter before it became worse.,1,case_withdrawal,english,synthetic
He told me to stop the complaint or face consequences.,1,physical_threat,english,synthetic
I am struggling to keep up with my normal routine.,0,general_distress,english,synthetic
I have been crying a lot lately.,0,sadness,english,synthetic
Mujhe kisi se baat karne ka mann nahi karta.,0,sadness,hinglish,synthetic
Complaint ki toh dekh lena kya hota hai.,1,physical_threat,hinglish,synthetic
They warned me not to pursue the case any further.,1,case_withdrawal,english,synthetic
Mere khilaaf statement mat dena.,1,hinglish_threat,hinglish,synthetic_v6
Someone told me that my brother could be targeted.,1,family_threat,english,synthetic
I am afraid of being threatened even though nothing has happened.,0,hard_negative,english,synthetic
Kisi aur ko threat mila tha aur uske baad mujhe darr lagne laga.,0,hard_negative,hinglish,synthetic
Mujhe complaint handle karne ka tareeka pasand nahi aaya.,0,anger,hinglish,synthetic
Case ki wajah se mentally frustrated hoon.,0,anger,hinglish,synthetic
He pressured me to stay quiet to protect my job.,1,financial_coercion,english,synthetic
I am nervous because I do not know what to expect.,0,fear,english,synthetic
I feel frightened by everything that has happened.,0,fear,english,synthetic
"I know another family was intimidated, but nobody threatened me.",0,other_person_threat,english,synthetic_v6
They warned me not to risk my family's safety.,1,family_threat,english,synthetic
Maybe it is better to stay away from the dispute.,0,ambiguous_non_threat,english,synthetic_v6
I am scared about what might happen next.,0,fear,english,synthetic
Mujhe future ko lekar bahut tension hai.,0,fear,hinglish,synthetic
I am afraid that someone might hurt me.,0,fear_without_threat,english,synthetic_v6
Stop the case or your family will suffer.,1,targeted_threat,english,synthetic_v6
They told me that my family would not be safe if I continued.,1,indirect_threat,english,synthetic_v6
The possibility of retaliation makes me anxious.,0,fear_without_threat,english,synthetic_v6
Situation ki wajah se mentally tired hoon.,0,general_distress,hinglish,synthetic
I do not feel like talking to anyone.,0,sadness,english,synthetic
Main is process se bahut upset hoon.,0,anger,hinglish,synthetic
They asked me not to tell the authorities.,1,forced_silence,english,synthetic
Kisi ne complaint wapas lene ko nahi bola.,0,hinglish_negation,hinglish,synthetic_v6
Mujhe lagta hai kuch bura ho sakta hai.,0,hinglish_fear,hinglish,synthetic_v6
Police ke paas gaya toh mere liye achha nahi hoga.,1,physical_threat,hinglish,synthetic
Main bahut helpless feel kar raha hoon.,0,hopelessness,hinglish,synthetic
Court mein iske baare mein kuch mat bolna.,1,forced_silence,hinglish,synthetic
Stay quiet or there will be consequences.,1,targeted_threat,english,synthetic_v6
Another victim told me that they had received threats.,0,other_person_threat,english,synthetic_v6
Investigation mein cooperate mat karna.,1,witness_intimidation,hinglish,synthetic
They told me that cooperating with police would create serious problems.,1,targeted_threat,english,synthetic_v6
The case has made normal activities harder for me.,0,general_distress,english,synthetic
Chup raho warna problem hogi.,1,hinglish_threat,hinglish,synthetic_v6
He said I should take back what I had reported.,1,case_withdrawal,english,synthetic
They asked me to forget what I had seen.,1,witness_intimidation,english,synthetic
They told me that testifying would be a bad idea.,1,witness_intimidation,english,synthetic
They recommended that I speak to a lawyer first.,0,non_threat_advice,english,synthetic_v6
I do not know how I will handle this situation.,0,hopelessness,english,synthetic
No one has asked me to drop the case.,0,case_negation,english,synthetic_v6
I am afraid something bad might happen to my family.,0,hard_negative,english,synthetic
Gawahi di toh tumhare family ko dekh lenge.,1,targeted_threat,hinglish,synthetic_v6
They asked me to stop taking the case forward.,1,case_withdrawal,english,synthetic
Case continue kiya toh mere parents ko dekh lenge.,1,family_threat,hinglish,synthetic
This situation has been emotionally exhausting.,0,general_distress,english,synthetic
I am unsure about what I should do during the hearing.,0,legal_stress,english,synthetic
They told me to stop cooperating with the case.,1,case_withdrawal,english,synthetic
He said people who speak in court can face consequences.,1,targeted_threat,english,synthetic_v6
Complaint ki toh job chali jayegi.,1,financial_coercion,hinglish,synthetic
This experience has left me feeling very upset.,0,sadness,english,synthetic
I feel unable to cope with everything happening around me.,0,hopelessness,english,synthetic
He told me to stay quiet if I wanted things to remain peaceful.,1,forced_silence,english,synthetic
He told me to stay quiet or there would be consequences.,1,indirect_threat,english,synthetic_v6
Authorities se baat ki toh job lose kar doge.,1,financial_coercion,hinglish,synthetic
He told me that withdrawing the complaint would be better for me.,1,case_withdrawal,english,synthetic
Case continue kiya toh mujhe problem face karni padegi.,1,physical_threat,hinglish,synthetic
I feel nervous whenever I think about the hearing.,0,fear,english,synthetic
Case aage badhaya toh bahut bura hoga.,1,physical_threat,hinglish,synthetic
Case continue kiya toh job ka problem ho jayega.,1,hinglish_indirect,hinglish,synthetic_v6
I have been finding it hard to feel normal again.,0,sadness,english,synthetic
I do not know how to get through this.,0,hopelessness,english,synthetic
Case ko aage mat badhao warna problem hogi.,1,physical_threat,hinglish,synthetic
Jo hua usko lekar mujhe bahut gussa hai.,0,anger,hinglish,synthetic
I am frightened by the possibility that things could get worse.,0,hard_negative,english,synthetic
Unhone bola police ke paas gaya toh dekh lenge.,1,targeted_threat,hinglish,synthetic_v6
Case continue kiya toh tumhari job ka problem ho jayega.,1,targeted_threat,hinglish,synthetic_v6
Jo dekha hai woh court mein mat batana.,1,witness_intimidation,hinglish,synthetic
I read about a witness being threatened.,0,other_person_threat,english,synthetic_v6
I have not received any threats about testifying.,0,case_negation,english,synthetic_v6
Agar statement diya toh mere bachchon ko nuksan ho sakta hai.,1,family_threat,hinglish,synthetic
Someone recommended that I think carefully before continuing.,0,non_threat_advice,english,synthetic_v6
Cooperate kiya toh salary ka problem ho sakta hai.,1,financial_coercion,hinglish,synthetic
Mere area mein threats ke baare mein suna hai isliye main scared hoon.,0,hinglish_fear,hinglish,synthetic_v6
He warned me that I would regret continuing the case.,1,physical_threat,english,synthetic
I am worried that someone might threaten me in the future.,0,hard_negative,english,synthetic
Complaint ki toh tumhare liye mushkil ho jayegi.,1,hinglish_threat,hinglish,synthetic_v6
Mere bhai ko bhi consequences face karne padenge.,1,family_threat,hinglish,synthetic
They told me to think about what could happen to my family.,1,targeted_threat,english,synthetic_v6
Mere against statement diya toh accha nahi hoga.,1,targeted_threat,hinglish,synthetic_v6
No one has pressured me to change my statement.,0,case_negation,english,synthetic_v6
Case ko lekar mujhe bahut darr lag raha hai.,0,hinglish_fear,hinglish,synthetic_v6
I feel completely overwhelmed.,0,hopelessness,english,synthetic
I do not understand the legal process.,0,legal_stress,english,synthetic
Mere family ko kisi ne threaten nahi kiya.,0,hinglish_negation,hinglish,synthetic_v6
I am worried that someone may become angry with me.,0,fear_without_threat,english,synthetic_v6
The word threat came up in the discussion and it made me uncomfortable.,0,hard_negative,english,synthetic
Sab kuch bahut stressful lag raha hai.,0,general_distress,hinglish,synthetic
Family ko involve nahi karna hai toh case withdraw kar do.,1,family_threat,hinglish,synthetic
"He initially gave advice, but later threatened me if I continued.",1,targeted_threat,english,synthetic_v6
Gawahi dene se pehle soch lena.,1,witness_intimidation,hinglish,synthetic
Police ke paas mat jaana warna problem hogi.,1,targeted_threat,hinglish,synthetic_v6
No one has contacted me about the case in a threatening way.,0,case_negation,english,synthetic_v6
Someone told me not to risk my employment over the case.,1,financial_coercion,english,synthetic
They told me to stop the complaint or they would hurt me.,1,targeted_threat,english,synthetic_v6
"Mujhe lagta hai future mein threat ho sakta hai, lekin abhi kuch nahi hua.",0,hard_negative,hinglish,synthetic
Case ke baare mein kisi se baat mat karna.,1,forced_silence,hinglish,synthetic
Court mein gawahi mat dena.,1,witness_intimidation,hinglish,synthetic
I am upset that nobody seems to understand my situation.,0,anger,english,synthetic
They told me not to appear in court.,1,witness_intimidation,english,synthetic
Puri situation se darr lag raha hai.,0,fear,hinglish,synthetic
They asked me to forget about the case.,1,case_withdrawal,english,synthetic
Situation ki wajah se emotionally drained hoon.,0,sadness,hinglish,synthetic
Unhone bola chup raho warna problem ho sakti hai.,1,hinglish_indirect,hinglish,synthetic_v6
He told me to stop speaking about what I had seen.,1,forced_silence,english,synthetic
Mujhe bola gaya ki case ko aage mat badhao.,1,hinglish_indirect,hinglish,synthetic_v6
They warned me against cooperating with the investigation.,1,witness_intimidation,english,synthetic
Mera mood bahut low chal raha hai.,0,sadness,hinglish,synthetic
I feel stressed whenever I have to deal with the paperwork.,0,legal_stress,english,synthetic
They threatened to destroy my business if I testified.,1,targeted_threat,english,synthetic_v6
He warned me to keep quiet about the incident.,1,forced_silence,english,synthetic
They said I should stop talking about the case if I knew what was good for me.,1,indirect_threat,english,synthetic_v6
I am finding it difficult to focus on normal things.,0,general_distress,english,synthetic
They told me that I would pay for continuing with the case.,1,physical_threat,english,synthetic
There is no actual threat against me.,0,negation,english,synthetic_v6
Case continue karne ki zarurat nahi hai.,1,case_withdrawal,hinglish,synthetic
He said I would regret going to the police.,1,indirect_threat,english,synthetic_v6
I am upset about how complicated everything has become.,0,anger,english,synthetic
I have been feeling very sad since the incident.,0,sadness,english,synthetic
I keep thinking about possible retaliation.,0,hard_negative,english,synthetic
I am upset about how my complaint was handled.,0,anger,english,synthetic
I am worried about saying something incorrectly in court.,0,legal_stress,english,synthetic
He said I should keep quiet if I wanted things to remain peaceful.,1,indirect_threat,english,synthetic_v6
They warned me that continuing the case could affect my livelihood.,1,financial_coercion,english,synthetic
Someone told me that my income was at risk.,1,financial_coercion,english,synthetic
I was told to stay quiet because my family could suffer.,1,family_threat,english,synthetic
Gawahi di toh tumhe iska result bhugatna padega.,1,physical_threat,hinglish,synthetic
Is incident ke baare mein chup raho.,1,forced_silence,hinglish,synthetic
Mujhe pura situation unfair lag raha hai.,0,anger,hinglish,synthetic
Do not take this matter to court.,1,targeted_threat,hinglish,synthetic_v6
Do not go to the police if you know what is good for you.,1,targeted_threat,english,synthetic_v6
Statement diya toh main safe nahi rahunga.,1,physical_threat,hinglish,synthetic
I was told to stop cooperating or I would face serious consequences.,1,physical_threat,english,synthetic
The situation feels too difficult to manage.,0,hopelessness,english,synthetic
"Mujhe darr hai ki woh mujhe hurt kar sakte hain, lekin kisi ne dhamki nahi di.",0,hard_negative,hinglish,synthetic
"Unhone bola zyada bolna mat, warna situation kharab ho sakti hai.",1,hinglish_indirect,hinglish,synthetic_v6
"Kisi ne mujhe threaten nahi kiya, bas mujhe future ko lekar concern hai.",0,hard_negative,hinglish,synthetic
Agar statement diya toh tumhe regret hoga.,1,hinglish_indirect,hinglish,synthetic_v6
Mujhe hearing ka process confusing lag raha hai.,0,legal_stress,hinglish,synthetic
He said I should stop the case for the sake of my family.,1,family_threat,english,synthetic
Kisi ne mujhe chup rehne ke liye force nahi kiya.,0,hinglish_negation,hinglish,synthetic_v6
Mujhe case ke wajah se koi dhamki nahi mili.,0,hinglish_negation,hinglish,synthetic_v6
I feel angry and exhausted by the process.,0,anger,english,synthetic
I feel unsettled because of everything that happened.,0,general_distress,english,synthetic
You should consider whether this case is worth continuing.,0,ambiguous_non_threat,english,synthetic_v6
They warned me to take the matter no further.,1,case_withdrawal,english,synthetic
The case makes me fear for my safety.,0,fear_without_threat,english,synthetic_v6
Gawahi di toh tumhare family ko consequences face karne padenge.,1,family_threat,hinglish,synthetic
Someone demanded that I withdraw my complaint.,1,case_withdrawal,english,synthetic
There has been no threat against me.,0,negation,english,synthetic_v6
Samajh nahi aa raha aage kya hoga.,0,fear,hinglish,synthetic
They warned me that my salary could be affected.,1,financial_coercion,english,synthetic
My friend advised me to avoid the case.,0,non_threat_advice,english,synthetic_v6
Someone pressured me not to provide evidence.,1,witness_intimidation,english,synthetic
Case continue karne ko lekar main anxious hoon.,0,hinglish_fear,hinglish,synthetic_v6
Mujhe bahut akela feel ho raha hai.,0,sadness,hinglish,synthetic
It has become difficult for me to focus on college.,0,general_distress,english,synthetic
They told me that nobody should hear about the incident.,1,forced_silence,english,synthetic
Court mein testify karne ki zarurat nahi hai.,1,witness_intimidation,hinglish,synthetic
They threatened consequences for my family if I refused to withdraw.,1,family_threat,english,synthetic
They said I would have to face the consequences if I testified.,1,physical_threat,english,synthetic
The thought of being threatened makes me anxious.,0,hard_negative,english,synthetic
They warned me not to discuss the case with anyone.,1,forced_silence,english,synthetic
I have been feeling low for several days.,0,sadness,english,synthetic
He told me to forget everything I had seen.,1,witness_intimidation,english,synthetic
I am nervous about continuing the case.,0,fear_without_threat,english,synthetic_v6
I feel mentally tired whenever I think about everything.,0,general_distress,english,synthetic
Mujhe koi threaten nahi kar raha hai.,0,hinglish_negation,hinglish,synthetic_v6
I am frustrated that nothing seems to be changing.,0,anger,english,synthetic
I was warned that my family would be dragged into the matter.,1,family_threat,english,synthetic
Nobody has threatened my family.,0,negation,english,synthetic_v6
"I worry about what they might do, but they have not said anything to me.",0,hard_negative,english,synthetic
Witness mat banna warna problem hogi.,1,witness_intimidation,hinglish,synthetic
They said I should forget the complaint if I wanted peace.,1,targeted_threat,english,synthetic_v6
I was told to be careful because the situation is complicated.,0,ambiguous_non_threat,english,synthetic_v6
Mujhe situation ko lekar fear ho raha hai.,0,fear,hinglish,synthetic
I feel emotionally tired after dealing with everything.,0,sadness,english,synthetic
Pichhle kuch din se bahut low feel ho raha hai.,0,sadness,hinglish,synthetic
