text,label,category,language,source
Lag raha hai kuch bhi theek nahi hoga.,0,sadness_without_threat,hinglish,synthetic
"Har din pehle se bura hai, main bikhar raha hoon.",0,sadness_without_threat,hinglish,distress_v3_negatives
Chup raho aur matter khatam karo.,1,direct_threat,hinglish,synthetic_v6
He said I would regret going to the police.,1,indirect_threat,english,synthetic_v6
He warned me to keep quiet about the incident.,1,forced_silence,english,synthetic
I do not feel like talking to anyone.,0,sadness_without_threat,english,synthetic
Case ki wajah se daily life affect ho rahi hai.,0,sadness_without_threat,hinglish,synthetic
"Since the notice came, I've been worried, though I can get through the day.",0,sadness_without_threat,english,distress_v3_negatives
"Since the notice came, I've been sleeping a little less, but I'm still going to work.",0,sadness_without_threat,english,distress_v3_negatives
I do not know what to expect during the hearing.,0,legal_stress_without_threat,english,synthetic
Police ko kuch mat bolna.,1,forced_silence,hinglish,synthetic
"This month, I've been sleeping a little less, but I'm coping.",0,sadness_without_threat,english,distress_v3_negatives
No one has tried to intimidate me.,0,negation,english,synthetic_v6
They told me my job would not be safe if I continued.,1,financial_coercion,english,synthetic
Someone told me not to risk my employment over the case.,1,financial_coercion,english,synthetic
"Since the notice came, I'm a bit anxious.",0,sadness_without_threat,english,distress_v3_negatives
I keep thinking about the hearing and it's hard to relax.,0,sadness_without_threat,english,distress_v3_negatives
I read about a witness being threatened.,0,third_party_statement,english,synthetic_v6
I'm at my breaking point and I have no one to turn to.,0,sadness_without_threat,english,distress_v3_negatives
I feel there is no point in anything anymore.,0,sadness_without_threat,english,distress_v3_negatives
Kahin safe nahi lagta.,0,sadness_without_threat,hinglish,distress_v3_negatives
Someone suggested that I stay away from the dispute.,0,benign_advice,english,synthetic_v6
"Notice aane ke baad se, chinta ho rahi hai, par kaam pe jaa raha hoon.",0,sadness_without_threat,hinglish,distress_v3_negatives
He warned me that I would be sorry for taking the case further.,1,direct_threat,english,synthetic
Kuch samajh nahi aa raha kaise aage badhun.,0,sadness_without_threat,hinglish,synthetic
I feel unsettled because of everything that happened.,0,sadness_without_threat,english,synthetic
"Date paas aa rahi hai toh, thodi ghabrahat hai, phir bhi din nikal jaata hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
Everything feels impossible right now.,0,sadness_without_threat,english,synthetic
Is hafte kaam pe dhyan lagana mushkil raha.,0,sadness_without_threat,hinglish,distress_v3_negatives
Lagta hai toot raha hoon aur kuch kaam nahi aa raha.,0,sadness_without_threat,hinglish,distress_v3_negatives
"I need some reassurance, I've been feeling shaky about all this.",0,sadness_without_threat,english,distress_v3_negatives
"This month, it's been hard to focus.",0,sadness_without_threat,english,distress_v3_negatives
Samajh nahi aa raha aage kya hoga.,0,fear_without_threat,hinglish,synthetic
Process ki wajah se bahut irritation ho rahi hai.,0,anger_without_threat,hinglish,synthetic
I am upset that nobody seems to understand my situation.,0,anger_without_threat,english,synthetic
Complaint ki toh tumhare liye mushkil ho jayegi.,1,direct_threat,hinglish,synthetic_v6
I was told to abandon the complaint.,1,case_withdrawal_coercion,english,synthetic
I feel uneasy about seeing the other party in court.,0,sadness_without_threat,english,distress_v3_negatives
They told me to remain silent about what happened.,1,forced_silence,english,synthetic
I feel stressed whenever I have to deal with the paperwork.,0,legal_stress_without_threat,english,synthetic
I am frustrated with how slowly the case is moving.,0,anger_without_threat,english,synthetic
"Because of the delay, I feel nervous, but I'm coping.",0,sadness_without_threat,english,distress_v3_negatives
"Kai din se theek se khaya nahi, rona band nahi hota.",0,sadness_without_threat,hinglish,distress_v3_negatives
Thane jaane se pehle tension ho jaati hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
Statement wapas lena padega.,1,case_withdrawal_coercion,hinglish,synthetic
Someone told me to stay quiet about the investigation.,1,forced_silence,english,synthetic
I feel like my life is falling apart.,0,sadness_without_threat,english,distress_v3_negatives
Apni job risk mein mat daalo aur complaint wapas le lo.,1,financial_coercion,hinglish,synthetic
He told me to change my statement.,1,case_withdrawal_coercion,english,synthetic
I feel numb and empty all the time.,0,sadness_without_threat,english,distress_v3_negatives
I find the legal process emotionally exhausting.,0,legal_stress_without_threat,english,synthetic
Someone tried to stop me from giving evidence.,1,witness_intimidation,english,synthetic
I don't feel safe anywhere and I feel I can't go on.,0,sadness_without_threat,english,distress_v3_negatives
They said I should reconsider testifying.,1,witness_intimidation,english,synthetic
I feel emotionally exhausted.,0,sadness_without_threat,english,synthetic
No one has threatened me.,0,negation,english,synthetic_v6
The paperwork is overwhelming me.,0,legal_stress_without_threat,english,synthetic
Police ko bataya toh tumhare liye problem hogi.,1,indirect_threat,hinglish,synthetic_v6
"I feel worried, though I can still get through my day.",0,sadness_without_threat,english,distress_v3_negatives
I've been more irritable than usual with my family.,0,sadness_without_threat,english,distress_v3_negatives
"Before the hearing, it's been hard to focus, but I'm managing.",0,sadness_without_threat,english,distress_v3_negatives
I worry that there could be retaliation.,0,fear_without_threat,english,synthetic_v6
"Please meri madad karo, ab kuch samajh nahi aa raha.",0,sadness_without_threat,hinglish,distress_v3_negatives
"Kaam pe rona aa gaya, ghar aana pada.",0,sadness_without_threat,hinglish,distress_v3_negatives
Jo hua usko lekar mujhe bahut gussa hai.,0,anger_without_threat,hinglish,synthetic
I'm having panic attacks and I can't face anyone.,0,sadness_without_threat,english,distress_v3_negatives
He warned me that continuing the complaint would not end well.,1,direct_threat,english,synthetic_v6
"This month, I feel tense, but I'm coping.",0,sadness_without_threat,english,distress_v3_negatives
I am afraid something bad might happen to my family.,0,hard_negative,english,synthetic
Mujhe pura situation unfair lag raha hai.,0,anger_without_threat,hinglish,synthetic
Stress hai par positive rehne ki koshish kar raha hoon.,0,sadness_without_threat,hinglish,distress_v3_negatives
"Hearing ke baare mein sochta rehta hoon, relax nahi ho pa raha.",0,sadness_without_threat,hinglish,distress_v3_negatives
I get tense every time I have to go to the police station.,0,sadness_without_threat,english,distress_v3_negatives
Someone suggested that I reconsider my involvement.,0,ambiguous,english,synthetic_v6
They demanded that I stop with the complaint.,1,case_withdrawal_coercion,english,synthetic
"I wish this would all just end, I can't take it.",0,sadness_without_threat,english,distress_v3_negatives
"Hearing ka saamna nahi kar sakta, lagta hai gir jaunga.",0,sadness_without_threat,hinglish,distress_v3_negatives
They warned me to take the matter no further.,1,case_withdrawal_coercion,english,synthetic
Sab chhod dene ka man karta hai aur kuch kaam nahi aa raha.,0,sadness_without_threat,hinglish,distress_v3_negatives
Nobody has tried to force me to withdraw the complaint.,0,negation,english,synthetic_v6
"With the date coming up, I've been worried, though I can get through the day.",0,sadness_without_threat,english,distress_v3_negatives
Please think carefully before getting involved.,0,ambiguous,english,synthetic_v6
They warned me that my family could suffer if I testified.,1,indirect_threat,english,synthetic_v6
"Sab andhera lagta hai, koi raasta nahi dikhta.",0,sadness_without_threat,hinglish,distress_v3_negatives
Har court visit ke baad thak jaata hoon.,0,sadness_without_threat,hinglish,distress_v3_negatives
I was pressured into withdrawing the complaint.,1,case_withdrawal_coercion,english,synthetic
Kaanpna band nahi hota aur lagta hai ab aur nahi.,0,sadness_without_threat,hinglish,distress_v3_negatives
I feel irritated by how difficult the process has become.,0,anger_without_threat,english,synthetic
I feel drained by the situation.,0,sadness_without_threat,english,synthetic
The situation has affected me emotionally.,0,sadness_without_threat,english,synthetic
They warned me not to discuss the matter publicly.,1,forced_silence,english,synthetic
He warned me not to give evidence against them.,1,witness_intimidation,english,synthetic
He pressured me to stay silent.,1,forced_silence,english,synthetic
I feel completely overwhelmed.,0,sadness_without_threat,english,synthetic
Na kha pa raha hoon na so pa raha hoon.,0,sadness_without_threat,hinglish,distress_v3_negatives
I am nervous because I do not know what to expect.,0,fear_without_threat,english,synthetic
"Har waqt rona aata hai, control nahi hota.",0,sadness_without_threat,hinglish,distress_v3_negatives
Someone told me that my income was at risk.,1,financial_coercion,english,synthetic
"They first advised me to stop, then made it clear there would be consequences.",1,direct_threat,english,synthetic_v6
Complaint withdraw nahi ki toh job se nikalwa denge.,1,financial_coercion,hinglish,synthetic
Lagta hai doob raha hoon aur koi bachane nahi aayega.,0,sadness_without_threat,hinglish,distress_v3_negatives
The case procedure is difficult for me to understand.,0,legal_stress_without_threat,english,synthetic
They told me to think about what could happen to my family.,1,direct_threat,english,synthetic_v6
He said I should stop the case for the sake of my family.,1,third_party_threat,english,synthetic
I feel worthless and I don't want to see anyone.,0,sadness_without_threat,english,distress_v3_negatives
Case ke baare mein kisi se baat mat karna.,1,forced_silence,hinglish,synthetic
I feel lonely after everything that happened.,0,sadness_without_threat,english,synthetic
They told me that nobody should hear about the incident.,1,forced_silence,english,synthetic
They suggested that I avoid unnecessary conflict.,0,benign_advice,english,synthetic_v6
I can't stop shaking and I don't know what to do.,0,sadness_without_threat,english,distress_v3_negatives
No one has told me that I would be harmed.,0,negation,english,synthetic_v6
Lagta hai dimaag kharab ho jayega.,0,sadness_without_threat,hinglish,distress_v3_negatives
Case continue karne ki zarurat nahi hai.,1,case_withdrawal_coercion,hinglish,synthetic
Pehle jaisi neend nahi aa rahi.,0,sadness_without_threat,hinglish,distress_v3_negatives
He asked me to take back my statement.,1,case_withdrawal_coercion,english,synthetic
I feel angry and exhausted by the process.,0,anger_without_threat,english,synthetic
Mujhe nahi pata aage kya hoga aur isliye tension hai.,0,fear_without_threat,hinglish,synthetic_v6
Stay quiet or there will be consequences.,1,direct_threat,english,synthetic_v6
I'm worried about money because I've missed work for court dates.,0,sadness_without_threat,english,distress_v3_negatives
Complaint ki toh meri family ko problem hogi.,1,third_party_threat,hinglish,synthetic
Panic attack jaise hote hain aur kisi ka saamna nahi kar sakta.,0,sadness_without_threat,hinglish,distress_v3_negatives
Case ko lekar mujhe bahut darr lag raha hai.,0,fear_without_threat,hinglish,synthetic_v6
Nobody threatened me.,0,negation,english,synthetic_v6
Gawahi di toh tumhe iska result bhugatna padega.,1,direct_threat,hinglish,synthetic
I was told to stop cooperating or I would face serious consequences.,1,direct_threat,english,synthetic
Legal process bahut overwhelming hai.,0,legal_stress_without_threat,hinglish,synthetic
Mujhe situation par bahut gussa aa raha hai.,0,anger_without_threat,hinglish,synthetic
I was warned that continuing the matter could put me at risk.,1,direct_threat,english,synthetic
They asked me to keep my statement to myself.,1,witness_intimidation,english,synthetic
"Khana chhod diya, har waqt jee machalta hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
No threatening message was sent to me.,0,negation,english,synthetic_v6
I can't stop crying.,0,sadness_without_threat,english,distress_v3_negatives
Complaint ki toh dekh lena kya hota hai.,1,direct_threat,hinglish,synthetic
"Since the notice came, I've been worried, but I'm coping.",0,sadness_without_threat,english,distress_v3_negatives
Kahin safe nahi lagta aur lagta hai ab aur nahi.,0,sadness_without_threat,hinglish,distress_v3_negatives
"Before the hearing, I feel nervous, but my routine is mostly okay.",0,sadness_without_threat,english,distress_v3_negatives
They told me that I would pay for continuing with the case.,1,direct_threat,english,synthetic
You should consider whether this case is worth continuing.,0,ambiguous,english,synthetic_v6
Police ko bataya toh mere parents ko trouble ho sakta hai.,1,third_party_threat,hinglish,synthetic
I am angry about the way I was treated.,0,anger_without_threat,english,synthetic
Family ko involve nahi karna hai toh case withdraw kar do.,1,third_party_threat,hinglish,synthetic
"I feel a bit scared about the next step, but I'll go.",0,sadness_without_threat,english,distress_v3_negatives
I was warned that cooperating could affect my employment.,1,financial_coercion,english,synthetic
Gawahi di toh job safe nahi rahegi.,1,financial_coercion,hinglish,synthetic
My hands tremble so badly I can't hold a cup.,0,sadness_without_threat,english,distress_v3_negatives
I'm terrified to leave the house.,0,sadness_without_threat,english,distress_v3_negatives
Kaanpna band nahi hota aur bachon ka dhyan nahi rakh pa raha.,0,sadness_without_threat,hinglish,distress_v3_negatives
Sab hopeless lagta hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
He told me to forget everything I had seen.,1,witness_intimidation,english,synthetic
They threatened to destroy my business if I testified.,1,direct_threat,english,synthetic_v6
"Date paas aa rahi hai toh, thodi ghabrahat hai, par sambhal raha hoon.",0,sadness_without_threat,hinglish,distress_v3_negatives
Mujhe future ko lekar tension ho rahi hai.,0,fear_without_threat,hinglish,synthetic_v6
"I'm managing, but the stress is getting to me some days.",0,sadness_without_threat,english,distress_v3_negatives
Maybe it is better to stay away from the dispute.,0,ambiguous,english,synthetic_v6
"Hearing se pehle, focus karna mushkil hai, par manage ho raha hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
The situation has made me very frustrated.,0,anger_without_threat,english,synthetic
I can't sleep at all and I can't go to work.,0,sadness_without_threat,english,distress_v3_negatives
I don't know how much longer I can bear this.,0,sadness_without_threat,english,distress_v3_negatives
I can't stop shaking and nothing helps.,0,sadness_without_threat,english,distress_v3_negatives
"Cross-examination ke liye ready hoon ya nahi, pata nahi.",0,sadness_without_threat,hinglish,distress_v3_negatives
"This month, it's been hard to focus, but I'm coping.",0,sadness_without_threat,english,distress_v3_negatives
I feel trapped and completely helpless.,0,sadness_without_threat,english,distress_v3_negatives
Sab hopeless lagta hai aur kisi ka saamna nahi kar sakta.,0,sadness_without_threat,hinglish,distress_v3_negatives
They told me to end the matter before it became worse.,1,case_withdrawal_coercion,english,synthetic
I feel so much fear that I've stopped going to work entirely.,0,sadness_without_threat,english,distress_v3_negatives
I'm not sure I'm ready for the cross-examination.,0,sadness_without_threat,english,distress_v3_negatives
Someone told me another family received threats.,0,third_party_statement,english,synthetic_v6
I was not threatened because of my complaint.,0,negation,english,synthetic_v6
I feel like I can't go on with this anymore.,0,sadness_without_threat,english,distress_v3_negatives
I am extremely angry about what happened.,0,anger_without_threat,english,synthetic
Kahin safe nahi lagta aur kuch kaam nahi aa raha.,0,sadness_without_threat,hinglish,distress_v3_negatives
Roz panic attack jaisa ho raha hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
I'm having panic attacks and I can't take care of my children.,0,sadness_without_threat,english,distress_v3_negatives
I've been sleeping a bit less since the notice came.,0,sadness_without_threat,english,distress_v3_negatives
Mujhe situation ko lekar fear ho raha hai.,0,fear_without_threat,hinglish,synthetic
He said people who speak in court can face consequences.,1,direct_threat,english,synthetic_v6
There has been no threat against me.,0,negation,english,synthetic_v6
Hearing ka sochke pet mein ajeeb sa lagta hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
I'm crying all the time and I can't control it.,0,sadness_without_threat,english,distress_v3_negatives
I was told that my financial situation would suffer if I cooperated.,1,financial_coercion,english,synthetic
"I've isolated myself completely, I can't face people.",0,sadness_without_threat,english,distress_v3_negatives
Complaint withdraw karna hi better hoga.,1,case_withdrawal_coercion,hinglish,synthetic
They told me my family would have problems if I cooperated.,1,third_party_threat,english,synthetic
Sab kuch hopeless lag raha hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
I'm tired of waiting and it's making me anxious.,0,sadness_without_threat,english,distress_v3_negatives
I heard that another witness was threatened.,0,third_party_statement,english,synthetic_v6
Case continue kiya toh income ka problem hoga.,1,financial_coercion,hinglish,synthetic
Mujhe bola gaya ki case ko aage mat badhao.,1,indirect_threat,hinglish,synthetic_v6
There were threats against another person involved in the case.,0,third_party_statement,english,synthetic_v6
Kisi ne police ke paas jaane se mujhe nahi roka.,0,negation,hinglish,synthetic_v6
"Bas sab khatam ho jaye, ab bardasht nahi hota.",0,sadness_without_threat,hinglish,distress_v3_negatives
Mujhe court jaane mein anxiety ho rahi hai.,0,fear_without_threat,hinglish,synthetic
Statement change kar do.,1,case_withdrawal_coercion,hinglish,synthetic
"Hearing kaise jayegi, iski chinta hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
I'm too frightened to go to the village well anymore.,0,sadness_without_threat,english,distress_v3_negatives
They told me to stop cooperating with the case.,1,case_withdrawal_coercion,english,synthetic
Statement mein jo hua woh mat bolna.,1,witness_intimidation,hinglish,synthetic
They told me to stop cooperating if I wanted to keep working.,1,financial_coercion,english,synthetic
I feel stressed whenever the case comes up.,0,sadness_without_threat,english,synthetic
Kisi ko bataya toh problem hogi.,1,forced_silence,hinglish,synthetic
Chup raho warna family ko problem hogi.,1,direct_threat,hinglish,synthetic_v6
They warned me to think carefully before going to the police.,1,direct_threat,english,synthetic
"Nobody has threatened me, but I am worried about what could happen.",0,hard_negative,english,synthetic
Gawahi di toh tumhare family ko dekh lenge.,1,direct_threat,hinglish,synthetic_v6
I feel completely hopeless about everything.,0,sadness_without_threat,english,distress_v3_negatives
"I have no energy, no appetite, and no will to continue.",0,sadness_without_threat,english,distress_v3_negatives
Uncertainty ki wajah se anxiety ho rahi hai.,0,fear_without_threat,hinglish,synthetic
"I'm having a breakdown, I need help right now.",0,sadness_without_threat,english,distress_v3_negatives
They said I should stop talking about the case if I knew what was good for me.,1,indirect_threat,english,synthetic_v6
I feel uneasy about going to court.,0,fear_without_threat,english,synthetic
"I felt shaky after the last hearing, but I'm slowly settling.",0,sadness_without_threat,english,distress_v3_negatives
They told me to withdraw the complaint unless I wanted trouble.,1,indirect_threat,english,synthetic_v6
Court mein unko dekhne ka sochke uneasy lagta hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
"Last court visit ke baad, chinta ho rahi hai, par routine theek hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
Stop the case or your family will suffer.,1,direct_threat,english,synthetic_v6
Lagta hai toot raha hoon.,0,sadness_without_threat,hinglish,distress_v3_negatives
They pressured me to stop pursuing the case.,1,case_withdrawal_coercion,english,synthetic
I've been feeling nervous and it's affecting my appetite a little.,0,sadness_without_threat,english,distress_v3_negatives
Paperwork ka sochke sar dard hone lagta hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
Complaint wapas le lo.,1,case_withdrawal_coercion,hinglish,synthetic
They told me I would be hurt if I went to the police.,1,direct_threat,english,synthetic
They told me my family would suffer if I continued the case.,1,third_party_threat,english,synthetic
I am afraid that someone might hurt me.,0,fear_without_threat,english,synthetic_v6
Mere khilaaf statement mat dena.,1,direct_threat,hinglish,synthetic_v6
They asked me to forget about the case.,1,case_withdrawal_coercion,english,synthetic
I have been feeling very sad since the incident.,0,sadness_without_threat,english,synthetic
"I am scared that they might hurt me, but nobody has threatened me.",0,hard_negative,english,synthetic
They warned me not to jeopardize my livelihood by speaking up.,1,financial_coercion,english,synthetic
"Hearing se pehle, nervous lag raha hai, par routine theek hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
I was warned not to talk about the complaint.,1,forced_silence,english,synthetic
I am worried about how everything will turn out.,0,fear_without_threat,english,synthetic
"The waiting makes me anxious, especially before each date.",0,sadness_without_threat,english,distress_v3_negatives
They said my brother would face problems if I testified.,1,third_party_threat,english,synthetic
Gawahi di toh tumhare family ko consequences face karne padenge.,1,third_party_threat,hinglish,synthetic
He reminded me that he knew where my parents lived.,1,indirect_threat,english,synthetic_v6
I feel angry whenever I think about what happened.,0,anger_without_threat,english,synthetic
Agar gawahi di toh tumhare liye achha nahi hoga.,1,witness_intimidation,hinglish,synthetic
I can't eat or sleep.,0,sadness_without_threat,english,distress_v3_negatives
Thinking about the case makes me anxious.,0,fear_without_threat,english,synthetic
Mere family ko kisi ne threaten nahi kiya.,0,negation,hinglish,synthetic_v6
Nobody has threatened my family.,0,negation,english,synthetic_v6
They threatened consequences for my family if I refused to withdraw.,1,third_party_threat,english,synthetic
Incident ke baad routine disturb ho gaya hai.,0,sadness_without_threat,hinglish,synthetic
The situation feels too difficult to manage.,0,sadness_without_threat,english,synthetic
Bhookh thodi kam ho gayi hai aajkal.,0,sadness_without_threat,hinglish,distress_v3_negatives
I am unsure about what I should do during the hearing.,0,legal_stress_without_threat,english,synthetic
"Is mahine, tension rehti hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
"Hearing se pehle, thodi ghabrahat hai, phir bhi din nikal jaata hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
Mujhe lag raha hai main sab kuch manage nahi kar paunga.,0,sadness_without_threat,hinglish,synthetic
I feel completely hopeless and I feel I can't go on.,0,sadness_without_threat,english,distress_v3_negatives
Someone suggested that I forget about the complaint.,0,benign_advice,english,synthetic_v6
I get a headache when I think about the paperwork.,0,sadness_without_threat,english,distress_v3_negatives
Cooperate kiya toh salary ka problem ho sakta hai.,1,financial_coercion,hinglish,synthetic
I keep imagining that something bad could happen.,0,fear_without_threat,english,synthetic_v6
Unhone kaha case aage le gaye toh accha nahi hoga.,1,indirect_threat,hinglish,synthetic_v6
I have not received any threats.,0,negation,english,synthetic_v6
Jo dekha hai woh court mein mat batana.,1,witness_intimidation,hinglish,synthetic
Police ke paas mat jaana warna problem hogi.,1,direct_threat,hinglish,synthetic_v6
I was told that I should not cooperate with investigators.,1,witness_intimidation,english,synthetic
Panic attack jaise hote hain aur lagta hai ab aur nahi.,0,sadness_without_threat,hinglish,distress_v3_negatives
Apne family ke baare mein socho aur complaint wapas le lo.,1,third_party_threat,hinglish,synthetic
There is no actual threat against me.,0,negation,english,synthetic_v6
"Notice aane ke baad se, tension rehti hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
Kisi aur ko threat mila tha aur uske baad mujhe darr lagne laga.,0,hard_negative,hinglish,synthetic
"Date paas aa rahi hai toh, tension rehti hai, par sambhal raha hoon.",0,sadness_without_threat,hinglish,distress_v3_negatives
Someone else involved in the case was threatened.,0,third_party_statement,english,synthetic_v6
I am upset about how my complaint was handled.,0,anger_without_threat,english,synthetic
I have been feeling low for several days.,0,sadness_without_threat,english,synthetic
Case ke baare mein din bhar sochta rehta hoon.,0,sadness_without_threat,hinglish,synthetic
Paperwork handle karna difficult lag raha hai.,0,legal_stress_without_threat,hinglish,synthetic
Police ko bataya toh consequences face karne padenge.,1,direct_threat,hinglish,synthetic
Na kha pa raha hoon na so pa raha hoon aur kaam pe nahi jaa pa raha.,0,sadness_without_threat,hinglish,distress_v3_negatives
I worry about my family's reaction to the hearing.,0,sadness_without_threat,english,distress_v3_negatives
I feel unsafe even though nobody has contacted me.,0,fear_without_threat,english,synthetic_v6
Another victim told me that they had received threats.,0,third_party_statement,english,synthetic_v6
Case ka bojh umeed se zyada lag raha hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
"Court ki dates ki wajah se kaam chhoota, paison ki chinta hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
They said continuing the complaint could cost me my livelihood.,1,financial_coercion,english,synthetic
I am struggling emotionally.,0,sadness_without_threat,english,synthetic
I have never dealt with a case before.,0,legal_stress_without_threat,english,synthetic
"I was not threatened when I first complained, but they later threatened my family.",1,direct_threat,english,synthetic_v6
Authorities ko kuch nahi batana.,1,forced_silence,hinglish,synthetic
I was asked to wait before making a decision.,0,ambiguous,english,synthetic_v6
They made it clear that I should keep silent.,1,direct_threat,english,synthetic_v6
Nobody made any threat against me.,0,negation,english,synthetic_v6
Tumhari wajah se ghar walon ko problem hogi.,1,third_party_threat,hinglish,synthetic
Statement diya toh employment ka issue ho jayega.,1,financial_coercion,hinglish,synthetic
I can't sleep at all and I can't face anyone.,0,sadness_without_threat,english,distress_v3_negatives
Bilkul neend nahi aati aur samajh nahi aata kya karun.,0,sadness_without_threat,hinglish,distress_v3_negatives
I feel like nothing is getting better.,0,sadness_without_threat,english,synthetic
"Hearing se pehle, chinta ho rahi hai, phir bhi din nikal jaata hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
Mujhe situation se kaafi emotional stress ho raha hai.,0,sadness_without_threat,hinglish,synthetic
Case yahin khatam kar do.,1,case_withdrawal_coercion,hinglish,synthetic
I can't eat or sleep and I can't go to work.,0,sadness_without_threat,english,distress_v3_negatives
Case aage badhaya toh accha nahi hoga.,1,direct_threat,hinglish,synthetic_v6
Mujhe aage kya hoga iska darr lag raha hai.,0,fear_without_threat,hinglish,synthetic
He said my job could disappear if I helped the investigation.,1,indirect_threat,english,synthetic_v6
"Last court visit ke baad, mood low rehta hai, par sambhal raha hoon.",0,sadness_without_threat,hinglish,distress_v3_negatives
Case ki wajah se kaam mein dhyan bhatak jaata hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
Har waqt darr lagta hai aur kisi ka saamna nahi kar sakta.,0,sadness_without_threat,hinglish,distress_v3_negatives
The pressure of the case is starting to affect my mood.,0,sadness_without_threat,english,distress_v3_negatives
Someone told me not to become involved as a witness.,1,witness_intimidation,english,synthetic
My appetite has been a bit off lately.,0,sadness_without_threat,english,distress_v3_negatives
I can't sleep at all and I feel I can't go on.,0,sadness_without_threat,english,distress_v3_negatives
He warned me that my job was in their hands.,1,financial_coercion,english,synthetic
I'm terrified all the time.,0,sadness_without_threat,english,distress_v3_negatives
Sab chhod dene ka man karta hai aur samajh nahi aata kya karun.,0,sadness_without_threat,hinglish,distress_v3_negatives
I do not know how I will handle this situation.,0,sadness_without_threat,english,synthetic
They warned me not to discuss the case with anyone.,1,forced_silence,english,synthetic
I am upset about how complicated everything has become.,0,anger_without_threat,english,synthetic
"I can't concentrate on anything, my mind is in pieces.",0,sadness_without_threat,english,distress_v3_negatives
Case continue kiya toh family ko problem hogi.,1,direct_threat,hinglish,synthetic_v6
I cannot see a clear way forward.,0,sadness_without_threat,english,synthetic
Agar statement diya toh tumhe regret hoga.,1,indirect_threat,hinglish,synthetic_v6
