text,label,category,language,source
He pressured me to stay silent.,1,forced_silence,english,synthetic
Case continue kiya toh mere parents ko dekh lenge.,1,family_threat,hinglish,synthetic
They warned me that my relatives could face consequences.,1,family_threat,english,synthetic
I have been feeling low for several days.,0,sadness,english,synthetic
Mujhe bahut lonely feel ho raha hai.,0,sadness,hinglish,synthetic
Police ko bataya toh consequences face karne padenge.,1,physical_threat,hinglish,synthetic
I have not been able to sleep properly because I keep thinking about it.,0,general_distress,english,synthetic
They pressured me into keeping silent.,1,forced_silence,english,synthetic
Main is situation mein lost feel kar raha hoon.,0,hopelessness,hinglish,synthetic
I feel nervous about speaking during the hearing.,0,fear,english,synthetic
I feel irritated whenever I think about the case.,0,anger,english,synthetic
Everything feels too difficult at the moment.,0,hopelessness,english,synthetic
I am finding it difficult to focus on normal things.,0,general_distress,english,synthetic
Case mein cooperate kiya toh salary band ho jayegi.,1,financial_coercion,hinglish,synthetic
They said continuing the complaint could cost me my livelihood.,1,financial_coercion,english,synthetic
I was warned not to talk about the complaint.,1,forced_silence,english,synthetic
He told me to change my statement.,1,case_withdrawal,english,synthetic
Gawahi dene se pehle soch lena.,1,witness_intimidation,hinglish,synthetic
"I am scared that they might hurt me, but nobody has threatened me.",0,hard_negative,english,synthetic
I have never dealt with a case before.,0,legal_stress,english,synthetic
They told me I could lose my job if I reported this.,1,financial_coercion,english,synthetic
"Mujhe safety ko lekar concern hai, kisi ne mujhe directly threaten nahi kiya.",0,hard_negative,hinglish,synthetic
Agar court gaya toh mere liye situation kharab ho jayegi.,1,physical_threat,hinglish,synthetic
I am worried about how everything will turn out.,0,fear,english,synthetic
They warned me against cooperating with the investigation.,1,witness_intimidation,english,synthetic
They demanded that I stop with the complaint.,1,case_withdrawal,english,synthetic
Mujhe lag raha hai main sab kuch manage nahi kar paunga.,0,hopelessness,hinglish,synthetic
"Kisi ne mujhe threaten nahi kiya, bas mujhe future ko lekar concern hai.",0,hard_negative,hinglish,synthetic
They warned me not to pursue the case any further.,1,case_withdrawal,english,synthetic
